Session,Book,Index,Item,Attribution,Mei,Attachment,
3,1,12,Tachi,Masatsugu,正次,,
3,1,13,Tachi,Kageyasu,景安,,
3,1,14,Tachi,Muneyasu,備前国宗安作,,
3,1,15,Tachi,Ietada,家忠,,
3,1,16,Tachi,Ichimonji,一,,
3,1,17,Tachi,Yoshihira,吉平,,
3,1,18,Wakizashi,den Yoshimochi,Mumei [伝吉用] – 宝永七年本阿 弥光忠折紙),Hon’ami Origami (1710,
3,1,19,Katana,den Yoshioka Ichimonji,Mumei [伝吉岡一文字],,
3,1,20,Naginata,den Yoshioka Ichimonji,Mumei [伝吉岡一文字],Habaki – 鉄鎺,
3,1,21,Katana,Nagamitsu,[Kiritsuke 長光一寸誉],,
3,1,22,Tachi,Nagamitsu,長光,,
3,1,23,Kodachi,Sanenaga,真長,,
3,1,24,Tachi,den Sanenaga,備前国長船住 (Cut off) [伝真長],,
3,1,25,Katana,Kanemitsu (Enbun),Mumei [兼光] (延文),,
3,1,26,Tachi,den Motoshige (Meitō Ōmori Motoshige – 大森元重),備州長船 (Cut off) [伝元重] – 元和二年本阿弥光温折紙),Hon’ami Origami (1616,
3,1,27,Katana,Unji,Orikaeshi 備前国住雲次,,
3,1,28,Tachi,Unji,雲次,,
3,1,29,Tachi,Yasumitsu (1429),備前長船康光 / 正長貮年二月日,,
3,1,30,Tachi,Yasumitsu (1436),備州長船康光 / 永享八年二月日 [Kinzōgan ga aru – 佩表に寛永八年六月 二十五日度々剣又二つ胴落],,
3,1,31,Katana,Nagamitsu (1513),備前国長船五郎次郎永光 / 美作国鷹取庄於黒坂村作之 / 時永正十年 二月吉日 / 為菅原朝臣陶神左衛門尉後広,,
3,1,32,Tachi,Tsugutada,次忠,,
3,1,33,Katana,den Norifusa,Mumei [伝則房] – 宝永元年光忠折紙),Hon’ami Origami (1704,
3,1,34,Tantō,Hokke Ichijō (1411),備後国住一乗作 / 応永十八年八月日,,
3,1,35,Katana,Hōjōji,Mumei [法城寺] – 明暦三年本阿弥光温折紙),Hon’ami Origami (1657,
3,1,36,Tachi,Yasutsuna,安綱,,
3,1,37,Katana,den Norishige,Mumei [伝則重] – 享保三年光忠折紙),Hon’ami Origami (1718,
3,1,38,Wakizashi,Esshū Kuniyuki (1365),越州住国行 / 貞治二二年十月日,,
3,1,39,Katana,Ariyoshi (1597),阿波守藤原在吉 / 慶長二年九月吉日,,
3,1,40,Katana,Tsuda Sukehiro (1674),津田越前守助広 / 延宝二年二月日,,
3,1,41,Katana,Echizen Yasutsugu,以南蛮鉄於武州越前康継,,
3,1,42,Tantō,Kotetsu,興里入道虎徹,,
3,1,43,Katana,Hizen Tadayoshi (1601),肥前国忠吉 / 慶長六年八月吉日,,
3,1,44,Katana,Hizen Tadayoshi,肥前国忠吉,,
3,1,45,Tachi Koshirae,,変り塗黒漆太刀拵,,
3,1,46,Tachi Koshirae,,樋蒔絵衛府太刀,,
3,1,47,Aikuchi Koshirae,,獅子牡丹文合口拵,,
3,1,48,Kogai (三疋連獅子文笄),Gotō Yūjō,祐乗,,
3,1,49,Kozuka (浅妻船図小柄),Sōmin,宗珉,,
4,1,1,Tantō,Yoshimitsu,吉光,,
4,1,2,Katana,Kuniyuki,Orikaeshi 国行,,
4,1,3,Tachi,Ryōkai,了戒,,
4,1,4,Tachi,den Ryōkai,Mumei [伝了戒] – 寛永五年本阿弥光忠折 紙),Hon’ami Origami (1628,
4,1,5,Wakizashi,Rai Kunitsugu,来国次,,
4,1,6,Katana,den Taima,Mumei [伝当麻],,
4,1,7,Yari,den Kanenaga,Mumei [伝包永],,
4,1,8,Tantō,Shintōgo Kunimitsu,国光,,
4,1,9,Tantō,Yukimitsu,行光,Aikuchi Koshirae & Hon’ami Origami – 黒漆角合口拵 & 並 本阿 弥光室折紙,
4,1,10,Katana,den Yukimitsu,Mumei [伝行光],,
4,1,11,Tantō,Masamune,[Shumei 正宗 / 本阿 (花押)],,
4,1,12,Katana,Yasuharu,相州住康春作,,
4,1,13,Tachi,Tsunetō,常遠,,
4,1,14,Tachi,Tsunemori,恒守,,
4,1,15,Tachi,Sadazane,貞真,,
4,1,16,Tachi,Sanetoshi,真利,,
4,1,17,Katana,Ichimonji,Mumei [一文字],,
4,1,18,Katana,den Yoshioka Ichimonji (Meitō Nikkori ニッコリ),Mumei [伝吉岡一文字] – 明暦参年光温折紙),Hon’ami Origami (1657,
4,1,19,Naginata,Nagamitsu,長光,,
4,1,20,Tachi,Kagemitsu (1321),備州長船住景光 / 元享元年十一月日,,
4,1,21,Tantō,Kagemitsu,景光,,
4,1,22,Tachi,Nagamoto,長元,,
4,1,23,Katana,Sanenaga,Mumei [真長],Katana Koshirae – 金梨子地立葵 – 藤丸紋蒔絵金装 刀拵,
4,1,24,Tachi,Chikakage,備州長船住近景,Katana Koshirae – 黒色蝋塗牡丹獅子金具刀拵,
4,1,25,Tachi,Chikakage (1347),備前国長船住近景 / 貞和三年二月日,,
4,1,26,Katana,den Kanemitsu (Meitō Hikone Kanemitsu 彦根兼光),Mumei [伝兼光],,
4,1,27,Katana,den Motomitsu,Mumei [伝基光],,
4,1,28,Tachi,Yoshikage,備前国長船住義景,,
4,1,29,Katana,den Chōgi,Mumei [伝長義],,
4,1,30,Katana,den Chōgi,Mumei [伝長義],Uchigatana Koshirae – 黒色蝋塗打刀拵,
4,1,31,Tachi & Koshirae,Ujinori (1305),左兵衛尉氏依造 / 嘉元三年三月日 (Tachi Koshirae – 黒漆皮包太刀 拵),,
4,1,32,Tachi,Kagenori (1281),景則 弘安四年造之,,
4,1,33,Tachi,Majō Yoshitsuna (1331),備州馬乗住吉綱 / 元徳三年十二月日,Tachi Koshirae – 金梨子地桐紋蒔絵巻太刀拵,
4,1,34,Katana,den Ko–Aoe,Mumei [伝古青江],,
4,1,35,Kodachi,Mihara Masahiro,備州住正広,Uchigatana Koshirae – 肥後打刀拵,
4,1,36,Tantō,Sa (Meitō Danjō Samonji 弾正左文字),左,,
4,1,37,Katana,den Sa,Mumei [伝左],,
4,1,38,Katana,Sa Yoshisada,Mumei [左吉貞],,
4,1,39,Tachi,Kunitoki,国時,,
4,1,40,Tachi & Tachi Koshirae,Kuniyoshi,国吉 & 桐唐草鳳凰文衛府太刀,Sageo – 切平緒,
4,1,41,Katana,Umetada Muneyoshi,山城国住人埋忠宗吉,,
4,1,42,Tantō,Umetada Myōjū (1608),山城国西陣住人埋忠明寿 / 慶長拾三年九月三日,,
4,1,43,Katana,Inoue Shinkai (1676),井上真改 / (菊紋) 延宝二二年八月日,,
4,1,44,Katana,Nanki Shigekuni,重国,,
4,1,45,Wakizashi,Nanki Shigekuni,於南紀重国造之,,
4,1,46,Katana,Echizen Yasutsugu,(葵紋) 以南蛮鉄於武州江戸越前康継,,
4,1,47,Katana,Hankei,繁慶,,
4,1,48,Katana,Hizen Tadayoshi,肥前国忠吉,,
4,1,49,Tantō,Hizen Tadayoshi,肥州住忠吉 / 此忠吉埋忠明寿弟子,,
4,1,50,Katana,Hizen Tadahiro,肥前国住近江大掾藤原忠広,,
4,1,51,Tsuba (九年母図鐔),Umetada Myōjū,埋忠明寿,,
4,1,52,Tachi Koshirae,,葵唐草文衛府太刀,,
4,1,53,Kozuka (獅子牡丹図小柄),Sōmin,宗珉,,
4,1,54,Soroimono (獅子牡丹図揃物),Sōyo,宗与,,
4,1,55,Daishō Tsuba (柏鷹図大小鐔),,Ishiguro Masayoshi 石黒政美,,
4,1,56,Tsuba (花文散七宝鐔),Hirata,Mumei [平田],,
5,1,1,Tachi,Yoshiie,吉家,Katana Koshirae – 刀拵,
5,1,2,Tachi,Ayanokōji Sadatoshi,定利,Tachi Koshirae – 金梨子地桐紋散衛府太刀拵,
5,1,3,Wakizashi,Rai Kunitsugu,Mumei [来国次],,
5,1,4,Tachi,Rai Kunitsugu,来国次,,
5,1,5,Wakizashi,Nobukuni (Meitō Arao Nobukuni 荒尾信国),信国,Tantō Box – 短刀箱,
5,1,6,Tantō,Nobukuni,信国,,
5,1,7,Katana,den Kanenaga,Mumei [伝包永],,
5,1,8,Tantō,Taima,Mumei [当麻],,
5,1,9,Katana,den Shizu,Mumei [伝志津],Katana Koshirae – 刀拵,
5,1,10,Katana,den Shizu,Mumei [伝志津],,
5,1,11,Naginata,Mino Kanesada (1515),和泉守藤原兼之作 / 永正十二年三月日,,
5,1,12,Tachi,Shintōgo Kunimitsu (Meitō Mutsu Shintōgo 陸奥新藤五),国光,Tachi Koshirae – 金梨子地菊花紋散糸巻太刀拵,
5,1,13,Tantō,Shintōgo Kunimitsu,国光,,
5,1,14,Naoshi,den Masamune,Mumei [伝正宗],,
5,1,15,Katana,Sadamune,Mumei [貞宗],,
5,1,16,Wakizashi,Sadamune (Meitō Kiriba Sadamune 切刃貞宗),Mumei [貞宗],Chiisagatana Koshirae – 黒塗葵紋金具小さ刀拵,
5,1,17,Wakizashi,den Sadamune (Meitō Zenein Sadamune 善得貞宗), Mumei [伝貞宗],,
5,1,18,Wakizashi,Akihiro (1364),相州住秋広 / 貞治三年十二月日,,
5,1,19,Tachi,Tsunahiro (1548),相州住綱広 / 天文十七戊申年二月日,Tachi Koshirae – 皮包 鉄造太刀拵,
5,1,20,Katana,Norishige,Mumei [則重],Uchigatana Koshirae & Hon’ami Origami – 黒色蝋塗 葵拵打刀及び本阿弥光温折紙,
5,1,21,Tachi,Kashū Kagemitsu,景光 [加州],Tachi Koshirae – 金梨子地菊桐紋散糸巻太刀拵,
5,1,22,Katana,Muramasa,村正,,
5,1,23,Tachi,Yasutsuna (Kuni Fumei),安綱 (国不明),,
5,1,24,Kodachi,Kageyasu,景安,,
5,1,25,Tachi,Naritaka,成高,,
5,1,26,Tachi,Ko–Ichimonji,Mumei [古一文字],,
5,1,27,Tachi,Ko–Ichimonji,Mumei [古一文字],,
5,1,28,Katana,Ichimonji,Mumei [一文字] [Kinzōgan ga aru 表に綱吉公御手自和元年辛西土月 日牧野備 後守拝領之],Uchigatana Koshirae – 黒色蝋塗葵紋金具打刀拵,
5,1,29,Katana,den Nagamitsu,Mumei [伝長光],,
5,1,30,Tachi,Kagemitsu,備州長船住景光,,
5,1,31,Tachi,Chikakage,備前国長船住近景,,
5,1,32,Katana,den Kanemitsu,Mumei [伝兼光],,
5,1,33,Katana,Kanemitsu,[Kinzōgan 兼光磨上光徳 (花押)],,
5,1,34,Tachi,Masamitsu,備州長船政光 / □□二年六月日,,
5,1,35,Katana,Chōgi,Mumei [長義],Uchigatana Koshirae – 黒塗刻鞘打刀拵,
5,1,36,Katana,den Motoshige,Mumei [伝元重],Hon’ami Origami – 本阿弥光温折紙,
5,1,37,Tachi,Moriie,守家造,,
5,1,38,Tachi,Ōmiya Morikage,盛景,,
5,1,39,Tachi,Morimitsu (1421),備州長船修理亮盛光 / 応永廿八年二月日,,
5,1,40,Tachi,Shigetsuna (1427),備州長船重綱 / 応永丗二二年十月日,,
5,1,41,Katana,Norimitsu (1479),備前国長船住左衛門尉藤原則光造 / 文明十一年八月日,Uchigatana Koshirae – 琴糸巻黒塗打刀拵,
5,1,42,Katana,Yosōzaemon Sukesada (1522),備前国住長船与三左衛門尉祐定 / 大永二年二月吉日,,
5,1,43,Katana,Aoe,Mumei [青江],,
5,1,44,Katana,den Aoe,Mumei [伝青江],,
5,1,45,Tantō,Enju Kuniyoshi,国吉,,
5,1,46,Katana,den Sa,Mumei [伝左],,
5,1,47,Tantō,Sa Yasuyoshi,安吉,,
5,1,48,Katana,Horikawa Kunihiro (1586),日州古屋住国広作 / 藤原兼治刀 / 天正十四年八月日,,
5,1,49,Katana,Horikawa Kunihiro (1610),洛陽住信濃守国広造 / 慶長十五年二月日 桑須久七所持,,
5,1,50,Katana,Kunimichi,出羽大掾藤原国路,,
5,1,51,Katana,Masahiro,大隅掾藤原正弘 / 日州住,,
5,1,52,Katana,Horikawa Kuniyasu,国安,,
5,1,53,Katana,Ariyoshi,阿波守在吉,,
5,1,54,Katana,Tanba no Kami Yoshimichi,丹波守吉道,,
5,1,55,Katana,Ikkanshi Tadatsuna,一竿子粟田口忠綱 / 雕同作,,
5,1,56,Katana,Nanki Shigekuni,於南紀重国造之,,
5,1,57,Tantō,Nanki Shigekuni,於南紀重国造之,,
5,1,58,Katana,Echizen Yasutsugu,(葵紋) 以南蛮鉄於武州江戸越前康継 / かさね胴及度々末世剣是也々/ 本多飛騨守所持内 (立葵紋),,
5,1,59,Tantō,Echizen Yasutsugu,なんばんかね わかえまさむね / 越前国康継 本多飛騨守所持内,,
5,1,60,Wakizashi,Echizen Yasutsugu,(葵紋) 以南蛮鉄於武州江戸越前康継 / 本多飛騨守成重所持内 (立 葵紋),,
5,1,61,Wakizashi,Echizen Yasutsugu,なんばんかねしし貞宗のうつし / 本多飛騨守所持内 / 越前国康継,,
5,1,62,Katana,Hankei,繁慶,,
5,1,63,Wakizashi,Kotetsu (1671),長曽祢興里真鍛作 /寛文十一年八月 雕物同作,,
5,1,64,Katana,Takahira (1621),越中守藤原高平 / 元和七年十二月日,,
5,1,65,Katana,Hizen Munetsugu (1634),家光将軍洛中賜五千貫目以銀 依那波宗旦 / 求伊予掾源宗次作 是 / 寛永十一年七月吉日,,
5,1,66,Tachi Koshirae,,革包革巻太刀拵,Box – 木地塗由緒書入箱,
5,1,67,Tachi Koshirae,,革包革巻太刀拵,,
5,1,68,Tachi Koshirae,,革包糸巻太刀拵,,
5,1,69,Tachi Koshirae,,黒塗銀銅蛭巻太刀拵,,
5,1,70,Aikuchi Koshirae,,黒塗金蛭巻合口拵,,
5,1,71,Aikuchi Koshirae,,刻鞘網代合口拵,,
5,1,72,Tsuba (塔鎌透鐔),Katchūshi,Mumei [甲胃師作],,
5,1,73,Tsuba (木賊刈図鐔),Kaneie,金家,,
5,1,74,Tsuba (置繩透鐔),Matashichi,Mumei [又七],,
6,1,1,Katana,Awataguchi,Mumei [粟田口],,
6,1,2,Tachi,Kuniyuki,国行,,
6,1,3,Katana,den Kunitoshi,Mumei [伝国俊],,
6,1,4,Katana,den Niji Kunitoshi,Mumei [伝二字国俊],,
6,1,5,Tantō,Rai Kunitoshi (1319),来国俊 / 元応元年閏七月日,Aikuchi Koshirae – 螺鈿蒔絵 葵紋散合口拵,
6,1,6,Katana,Rai Kunitoshi,Mumei [来国俊],,
6,1,7,Katana,Rai Kunimitsu,[Shusho 来国光 七十七叟松庵 (花押)],Uchigatana Koshirae – 打 刀拵,
6,1,8,Katana,den Rai Kunitsugu,Mumei [伝来国次],,
6,1,9,Wakizashi,Nobukuni,信国,,
6,1,10,Katana,den Senju’in,Mumei [伝千手院],,
6,1,11,Tachi,Kanenaga,包永,,
6,1,12,Katana,Hoshō,Mumei [保昌],,
6,1,13,Katana,Taima,Mumei [Kinzōgan 小笠原上野介秀政持之],,
6,1,14,Tachi,Tomotsugu (Uda),友次 [越中国],,
6,1,15,Katana,Fuyuhiro,冬広作,,
6,1,16,Katana,den Yukimitsu,Mumei [伝行光],,
6,1,17,Tantō,den Yukimitsu,Mumei [伝行光],,
6,1,18,Katana,Sadamune,Mumei [貞宗],,
6,1,19,Wakizashi,Sadamune,Mumei [貞宗],,
6,1,20,Wakizashi,Shizu,Mumei [志津],,
6,1,21,Katana,den Shizu,Mumei [伝志津],,
6,1,22,Katana,den Kinjū,Mumei [伝金重],,
6,1,23,Tachi,Kunimune (Hōki),国宗 [伯耆],,
6,1,24,Tachi,Inaba Kagenaga,因州千二浦住景長,,
6,1,25,Tachi,Sekishū Naotsuna,直綱,,
6,1,26,Tachi,Masatsune,正恒,,
6,1,27,Katana,den Tomonari,Mumei [伝備前友成],,
6,1,28,Tachi,Ko–Bizen,Mumei [古備前],,
6,1,29,Tachi,Tadashige,忠重,,
6,1,30,Katana,den Sadazane,Mumei [伝貞真],,
6,1,31,Tachi,Ichimonji,一,,
6,1,32,Katana,Sukezane,Mumei [助真],,
6,1,33,Katana,den Sukezane,Mumei [伝助真],,
6,1,34,Tachi,Norifusa,則房,Tachi Koshirae – 糸巻太刀拵,
6,1,35,Katana,Ichimonji,Mumei [一文字],Tachi Koshirae – 糸巻太刀拵,
6,1,36,Katana,den Fukuoka Ichimonji,Mumei [伝福岡一文字],,
6,1,37,Naoshi,Ichimonji,[Kinzōgan 一文字],,
6,1,38,Tachi,Sukenaga,助長,,
6,1,39,Tachi,Nagamitsu,長光,Uchigatana Koshirae – 打刀拵,
6,1,40,Tantō,Nagamitsu,長光,,
6,1,41,Katana,Kagemitsu,[Kinzōgan 本阿 (花押) / 景光],,
6,1,42,Tantō,Kagemasa (1317),備州長船住景政 / 文保元年十月日,,
6,1,43,Katana,Sanenaga,Mumei [真長],,
6,1,44,Tantō,Chikakage (1330),備前国長船住近景 / 元徳二年三月日,,
6,1,45,Tachi,Chikakage,備前国長船住近景,,
6,1,46,Katana,Chikakage (1343),Mumei / 康永二年 (Cut off) [近景],,
6,1,47,Katana,Bizen Saburō Kunimune,Mumei [国宗],,
6,1,48,Tachi,Sanemori,真守,,
6,1,49,Katana,Kanemitsu,Mumei [備前兼光],Uchigatana Koshirae – 打刀拵,
6,1,50,Katana,den Tomomitsu,Mumei [伝倫光],,
6,1,51,Tachi,Motoshige (1352),備州長船元重 / 観応三年八月日,,
6,1,52,Tachi,Unji,備前国住雲次,,
6,1,53,Katana,Motoshige,Mumei [備前元重],,
6,1,54,Katana,Katsumitsu (1531),備前国住長船次郎左衛門尉勝光 / 享禄二二年二月吉日,,
6,1,55,Katana,Yosōzaemon Sukesada (1535),備前国住長船与三左衛門尉祐定 / 天文二二年二月吉日,,
6,1,56,Katana,Yosōzaemon Sukesada (1539),備前国住長船与三左衛門尉祐定 / 天文八年二月吉日,,
6,1,57,Katana,den Masatsune (Bitchū),Mumei [伝正恒] [備中],,
6,1,58,Tachi,Yasutsugu,康次,,
6,1,59,Tachi,Yasutsugu,康次,,
6,1,60,Tachi,Sukeyori,助依,Tachi Koshirae – 糸巻太刀拵,
6,1,61,Katana,Aoe,Mumei [青江],,
6,1,62,Katana,den Sa,Mumei [伝左] [Shusho 左宝永四年代金子三枚折紙附楽翁公遺愛],Uchigatana Koshirae – 打刀拵,
6,1,63,Katana & Uchigatana Koshirae,Horikawa Kunihiro,国広 & 肥後打刀拵,,
6,1,64,Tantō,Horikawa Kunihiro,藤原国広,,
6,1,65,Katana,Masahiro,大隅掾藤原正弘 / 日州住,,
6,1,66,Katana,Iga no Kami Kinmichi,伊賀守金道,,
6,1,67,Katana,Iga no Kami Kinmichi,伊賀守藤原金道,,
6,1,68,Katana,Oya Kunisada,和泉守藤原国貞,,
6,1,69,Katana,Inoue Shinkai (1674),井上真改 / (菊紋) 延宝二年二月日,,
6,1,70,Katana,Tsuda Sukehiro (1674),津田越前守助広 / 延宝二年八月日,,
6,1,71,Katana,Tsuda Sukenao (1687),津田越前守助直 / 貞享二二年八月日,,
6,1,72,Katana,Ikkanshi Tadatsuna (1699),一竿子忠綱雕同作 / 元禄十二年八月日,Uchigatana Koshirae – 打刀拵,
6,1,73,Katana,Shimosaka,於武州江戸 越前下坂,,
6,1,74,Katana,Kiyomaro (1849),源清麿 / 嘉永二年八月日,,
6,1,75,Katana,Sa Yukihide (1871),豊永東虎造之 / 明治三年二月日,,
6,1,76,Katana,Ujifusa,飛騨守藤原氏房,,
6,1,77,Tantō,Teruhiro (1628),播磨守輝広 / 寛永五年八月日,,
6,1,78,Katana,Hizen Tadayoshi,肥前国忠吉 / 主無刀刑助,,
6,1,79,Katana,Hizen Tadayoshi,肥前国忠吉,,
6,1,80,Tachi Koshirae,銀長覆輪桜,巴紋打出蝦夷拵太刀,,
6,1,81,Futatokoromono (不二二所物),Hirata Dōnin,Mumei [平田道仁],,
6,1,82,Tsuba (羽箒巴,雁透象嵌鐔),Heianjō Zōgan – Mumei [平安城象嵌],,
6,1,83,Tsuba (遠見松透鐔),Matashichi,Mumei [林又七],,
6,1,84,Tsuba (松上莵図鐔),Jingo,Mumei [甚五],,
6,1,85,Daishō Tsuba (巌上猛禽図大小鐔),Ishiguro Masatsune,東獄子石黒政常 (花押),,
7,1,1,Katana,den Niji Kunitoshi,Mumei [伝二字国俊],,
7,1,2,Katana,Rai Kunitoshi,Orikaeshi 来国俊,,
7,1,3,Katana,Rai Kunimitsu,[Kinzōgan 来国光 / 本阿 (花押)],,
7,1,4,Katana,Hasebe,Mumei [長谷部],,
7,1,5,Katana,den Hasebe,Mumei [伝長谷部],,
7,1,6,Wakizashi,Hasebe Kuninobu (1363),長谷部国信 / 貞治二年□月日,,
7,1,7,Yari,Nagayoshi,長吉作,,
7,1,8,Katana & Tachi Koshirae,den Senju’in,Mumei [伝千手院] & 樋螺鈿衛府太刀拵,,
7,1,9,Katana,Hoshō,Mumei [保昌],,
7,1,10,Katana,Shikkake Norinaga,[Kinzōgan 尻縣則長磨上之本阿 (花押)],,
7,1,11,Katana,Taima,Mumei [当麻],,
7,1,12,Katana,den Yukimitsu,Mumei [伝行光],,
7,1,13,Tantō,den Masamune,Mumei [伝正宗],,
7,1,14,Katana,den Sadamune,Mumei [伝貞宗],,
7,1,15,Katana,Sadamune,[Kinzōgan 貞宗磨上ル / 本阿 (花押)],Uchigatana Koshirae – 黒色 蝋塗打刀拵,
7,1,16,Katana,Shizu,Mumei [志津],,
7,1,17,Katana,den Shizu,Mumei [伝志津],,
